"Magic","multiple_choice","What Magic level is required to cast Blood Rush on Ancient Magicks?","48|52|56|60","52","","Blood Rush is the first Blood spell in Ancient Magicks and requires level 52 Magic. It heals the caster for one-quarter of damage dealt."
"Magic","multiple_choice","What Magic level is required to cast Magic Dart?","70|72|75|77","75","","Magic Dart requires level 75 Magic and must be cast using a Slayer's staff. Its damage scales with the player's Slayer level."
"Magic","free_response","What Magic level is required to cast the Teleport to Camelot spell?","","33","Camelot|Teleport|33","Teleport to Camelot requires level 33 Magic and uses 5 Air runes and 1 Law rune to teleport the player to Camelot."
"Magic","true_false","The Arceuus spellbook spell Inferior Demonbane requires level 75 Magic.","","true","","Inferior Demonbane on the Arceuus spellbook requires level 75 Magic and deals increased damage to demons."
"Magic","multiple_choice","What Magic level is required to cast Blood Blitz on Ancient Magicks?","60|64|68|72","64","","Blood Blitz requires level 64 Magic from Ancient Magicks and is a high-damage single-target Blood spell that heals the caster."
"Runecraft","multiple_choice","What Runecraft level is required to craft Air runes?","1|2|5|9","1","","Air runes are the very first rune available to craft and require only level 1 Runecraft."
"Runecraft","multiple_choice","What Runecraft level is required to craft Water runes?","2|5|9|14","5","","Water runes require level 5 Runecraft to craft and can be made using Normal or Pure essence."
"Runecraft","multiple_choice","What Runecraft level is required to craft Fire runes?","9|14|17|20","14","","Fire runes require level 14 Runecraft and use Normal or Pure essence."
"Runecraft","multiple_choice","What Runecraft level is required to craft Nature runes?","40|44|50|54","44","","Nature runes require level 44 Runecraft and Pure essence. They are a popular rune to craft for profit."
"Runecraft","multiple_choice","What Runecraft level is required to craft Law runes?","50|54|58|65","54","","Law runes require level 54 Runecraft and Pure essence. They are a members-only rune."
"Runecraft","multiple_choice","What Runecraft level is required to craft Death runes?","60|65|70|75","65","","Death runes require level 65 Runecraft and Pure essence. They are a members-only rune."
"Runecraft","multiple_choice","What Runecraft level is required to craft Blood runes?","70|74|77|80","77","","Blood runes require level 77 Runecraft. They can be crafted at the standard altar using Pure essence or at the Arceuus altar using Dark essence fragments."
"Runecraft","multiple_choice","What Runecraft level is required to craft Soul runes?","85|88|90|94","90","","Soul runes require level 90 Runecraft and are crafted using Dark essence fragments at the Arceuus altar."
"Runecraft","multiple_choice","What Runecraft level is required to craft Wrath runes?","88|92|95|99","95","","Wrath runes require level 95 Runecraft and are the highest-level rune that can be crafted."
"Runecraft","multiple_choice","What Runecraft level is required to craft Lava runes?","18|20|23|27","23","","Lava runes are a combination of Earth and Fire runes requiring level 23 Runecraft. They are one of the fastest XP methods when using a binding necklace."
"Runecraft","multiple_choice","What Runecraft level is required to craft Cosmic runes?","20|24|27|30","27","","Cosmic runes require level 27 Runecraft and Pure essence. They are members-only to craft."
"Runecraft","multiple_choice","What Runecraft level is required to craft Chaos runes?","30|35|40|44","35","","Chaos runes require level 35 Runecraft and Pure essence. The altar is accessible to free players."
"Runecraft","multiple_choice","What Runecraft level is required to craft Astral runes?","38|40|44|47","40","","Astral runes require level 40 Runecraft and Pure essence. The Astral Altar is unique in that it does not require access through mysterious ruins."
"Runecraft","true_false","Mind runes require level 2 Runecraft to craft.","","true","","Mind runes are the second rune unlocked and require level 2 Runecraft using Normal or Pure essence."
"Runecraft","true_false","The Giant pouch can be obtained at level 50 Runecraft.","","false","","The Giant pouch requires level 75 Runecraft and holds 12 essence. The Large pouch requires level 50."
"Runecraft","multiple_choice","What Runecraft level is required to craft Dust runes?","6|8|10|13","10","","Dust runes are a combination of Air and Earth runes requiring level 10 Runecraft. They are members-only."
"Runecraft","multiple_choice","What Runecraft level is required to use the Large essence pouch?","40|50|60|75","50","","The Large pouch requires level 50 Runecraft and holds 9 essence. It decays after approximately 29 uses."
"Runecraft","free_response","What Runecraft level is required to craft Mist runes?","","6","Mist|combination|6","Mist runes are a combination of Air and Water runes requiring level 6 Runecraft. They are members-only."
"Runecraft","multiple_choice","What Runecraft level is required to craft Body runes?","14|17|20|25","20","","Body runes require level 20 Runecraft and can be crafted using Normal or Pure essence. They are a free-to-play rune."
"Runecraft","true_false","Lava runes are a combination of Air and Fire runes.","","false","","Lava runes are a combination of Earth and Fire runes requiring level 23 Runecraft. Smoke runes combine Air and Fire."
"Crafting","multiple_choice","What Crafting level is required to make Leather gloves?","1|5|7|9","1","","Leather gloves require level 1 Crafting and are the first piece of leather armour a player can make."
"Crafting","multiple_choice","What Crafting level is required to make a Leather body?","10|14|18|22","14","","The Leather body requires level 14 Crafting and is made using a piece of leather with a needle and thread."
"Crafting","multiple_choice","What Crafting level is required to make a Hardleather body?","22|25|28|32","28","","The Hardleather body requires level 28 Crafting and is made using hard leather."
"Crafting","multiple_choice","What Crafting level is required to make Green dragonhide vambraces?","52|55|57|60","57","","Green dragonhide vambraces require level 57 Crafting and are the first piece of dragonhide armour available."
"Crafting","multiple_choice","What Crafting level is required to make a Green dragonhide body?","59|61|63|65","63","","A Green dragonhide body requires level 63 Crafting and uses 3 green dragonhides."
"Crafting","multiple_choice","What Crafting level is required to make a Blue dragonhide body?","67|69|71|73","71","","A Blue dragonhide body requires level 71 Crafting and uses 3 blue dragonhides."
"Crafting","multiple_choice","What Crafting level is required to make a Red dragonhide body?","73|75|77|79","77","","A Red dragonhide body requires level 77 Crafting and uses 3 red dragonhides."
"Crafting","multiple_choice","What Crafting level is required to make a Black dragonhide body?","80|82|84|86","84","","A Black dragonhide body requires level 84 Crafting and uses 3 black dragonhides."
"Crafting","multiple_choice","What Crafting level is required to make Snakeskin boots?","41|43|45|48","45","","Snakeskin boots require level 45 Crafting and use 6 snakeskins."
"Crafting","multiple_choice","What Crafting level is required to make a Snakeskin body?","49|51|53|56","53","","A Snakeskin body requires level 53 Crafting and uses 15 snakeskins."
"Crafting","multiple_choice","What Crafting level is required to spin a Bow string?","5|8|10|12","10","","A Bow string requires level 10 Crafting to spin from flax on a spinning wheel. It is essential for Fletching."
"Crafting","true_false","Making a Pot requires level 1 Crafting.","","true","","A Pot requires level 1 Crafting and is made from soft clay on a potter's wheel and kiln."
"Crafting","true_false","Studded body requires level 38 Crafting to make.","","false","","Studded body requires level 41 Crafting and is made by adding steel studs to a Leather body."
"Crafting","multiple_choice","What Crafting level is required to make a Pie dish?","5|7|9|12","7","","A Pie dish requires level 7 Crafting and is made from soft clay on a potter's wheel."
"Crafting","multiple_choice","What Crafting level is required to weave a Basket?","30|33|36|40","36","","A Basket requires level 36 Crafting and is woven from 6 willow branches on a loom."
"Crafting","multiple_choice","What Crafting level is required to make a Coif?","34|36|38|41","38","","A Coif requires level 38 Crafting and is made from leather with a needle and thread."
"Crafting","multiple_choice","What Crafting level is required to make Red dragonhide vambraces?","69|71|73|75","73","","Red dragonhide vambraces require level 73 Crafting and use 1 red dragonhide."
"Crafting","free_response","What Crafting level is required to make Splitbark boots?","","60","Splitbark|boots|60","Splitbark boots require level 60 Crafting and are made using bark and fine cloth."
"Crafting","multiple_choice","What Crafting level is required to make a Drift net?","22|24|26|28","26","","A Drift net requires level 26 Crafting and is woven from 2 jute fibres on a loom. It is used in Drift Net Fishing."
"Crafting","true_false","Xerician fabric armour requires a minimum of 14 Crafting to start making.","","true","","The Xerician hat is the first Xerician piece and requires level 14 Crafting using 3 xerician fabric."
"Mining","multiple_choice","What Mining level is required to mine Copper ore?","1|5|10|15","1","","Copper ore requires only level 1 Mining and yields 17.5 XP per ore. It is combined with tin ore to smelt bronze bars."
"Mining","multiple_choice","What Mining level is required to mine Iron ore?","10|12|15|18","15","","Iron ore requires level 15 Mining and yields 35 XP per ore. It is one of the most popular ores for training due to common spawn locations."
"Mining","multiple_choice","What Mining level is required to mine Coal?","25|28|30|35","30","","Coal requires level 30 Mining and yields 50 XP per ore. It is widely used in Smithing for smelting steel and higher-tier bars."
"Mining","multiple_choice","What Mining level is required to mine Gold ore?","35|38|40|45","40","","Gold ore requires level 40 Mining and yields 65 XP per ore. It is a popular training method at the Crafting Guild."
"Mining","multiple_choice","What Mining level is required to mine Mithril ore?","50|52|55|58","55","","Mithril ore requires level 55 Mining and yields 80 XP per ore. It is used to smelt mithril bars."
"Mining","multiple_choice","What Mining level is required to mine Adamantite ore?","65|68|70|74","70","","Adamantite ore requires level 70 Mining and yields 95 XP per ore. It is used in Smithing to make adamant equipment."
"Mining","multiple_choice","What Mining level is required to mine Runite ore?","80|82|85|88","85","","Runite ore requires level 85 Mining and yields 125 XP per ore. It is found in remote locations and respawns every 12 minutes."
"Mining","multiple_choice","What Mining level is required to mine Amethyst?","85|88|92|95","92","","Amethyst requires level 92 Mining and yields 240 XP per ore. It is found in the members-only section of the Mining Guild."
"Mining","multiple_choice","What Mining level is required to mine Silver ore?","15|18|20|25","20","","Silver ore requires level 20 Mining and yields 40 XP per ore. It is used in Crafting to make silver jewellery via Smithing."
"Mining","multiple_choice","What Mining level is required to mine Granite?","40|42|45|50","45","","Granite requires level 45 Mining and yields 50 to 75 XP depending on size. The Bandit Camp Quarry is a popular power-mining spot."
"Mining","true_false","Clay requires level 1 Mining to mine.","","true","","Clay requires level 1 Mining and yields 5 XP per ore. It is used in Crafting after being made into soft clay."
"Mining","true_false","Pure essence requires level 25 Mining to mine.","","false","","Pure essence requires level 30 Mining and yields 5 XP. It is the members-only version of Rune Essence needed to craft members runes."
"Mining","multiple_choice","What Mining level is required to mine Volcanic ash?","18|20|22|25","22","","Volcanic ash requires level 22 Mining and yields 10 XP. It is mined on Fossil Island and used in Farming and Herblore."
"Mining","multiple_choice","What Mining level is required to mine Pay-dirt in the Motherlode Mine?","25|28|30|35","30","","Pay-dirt requires level 30 Mining and yields 60 XP. It is processed in the Motherlode Mine sluice to receive random ores."
"Mining","multiple_choice","What Mining level is required to mine Gem rocks?","35|38|40|45","40","","Gem rocks require level 40 Mining and yield 65 XP. They are found in Shilo Village and can provide sapphires, emeralds, rubies, and diamonds."
"Mining","free_response","What Mining level is required to mine Sandstone?","","35","Sandstone|35","Sandstone requires level 35 Mining and yields between 30 and 60 XP depending on size. It is found at the Bandit Camp Quarry."
"Mining","multiple_choice","What is the highest Mining level requirement for any standard ore or rock?","85|88|90|92","92","","Amethyst requires level 92 Mining and is the highest-level material that can be mined. It is found in the Mining Guild members area."
"Mining","multiple_choice","What Mining level is required to mine Lovakite ore?","60|62|65|70","65","","Lovakite ore requires level 65 Mining and yields 60 XP. It is found in Lovakengj and used to smelt Lovakite bars for Shayzien armour."
"Mining","true_false","Dense essence blocks used for Blood and Soul Runecrafting require level 38 Mining.","","true","","Dense essence blocks require level 38 Mining and yield 12 XP each. They are mined on Zeah for Arceuus spellbook runecrafting."
"Smithing","multiple_choice","What Smithing level is required to smelt a Bronze bar?","1|5|10|15","1","","A Bronze bar requires level 1 Smithing to smelt and uses 1 tin ore and 1 copper ore."
"Smithing","multiple_choice","What Smithing level is required to smelt an Iron bar?","10|13|15|20","15","","An Iron bar requires level 15 Smithing to smelt. Without a ring of forging or Blast Furnace it has a 50% success rate."
"Smithing","multiple_choice","What Smithing level is required to smelt a Steel bar?","25|28|30|35","30","","A Steel bar requires level 30 Smithing and uses 1 iron ore and 2 coal."
"Smithing","multiple_choice","What Smithing level is required to smelt a Mithril bar?","45|48|50|55","50","","A Mithril bar requires level 50 Smithing and uses 1 mithril ore and 4 coal."
"Smithing","multiple_choice","What Smithing level is required to smelt an Adamantite bar?","65|68|70|75","70","","An Adamantite bar requires level 70 Smithing and uses 1 adamantite ore and 6 coal."
"Smithing","multiple_choice","What Smithing level is required to smelt a Runite bar?","80|83|85|88","85","","A Runite bar requires level 85 Smithing and uses 1 runite ore and 8 coal."
"Smithing","multiple_choice","What Smithing level is required to smelt a Gold bar?","35|38|40|45","40","","A Gold bar requires level 40 Smithing. When wearing goldsmith gauntlets the XP is 56.2 per bar rather than 22.5."
"Smithing","multiple_choice","What Smithing level is required to make a Bronze platebody?","15|16|18|20","18","","A Bronze platebody requires level 18 Smithing and uses 5 bronze bars."
"Smithing","multiple_choice","What Smithing level is required to make an Iron platebody?","28|30|33|36","33","","An Iron platebody requires level 33 Smithing and uses 5 iron bars."
"Smithing","multiple_choice","What Smithing level is required to make a Steel platebody?","38|41|44|47","44","","A Steel platebody requires level 44 Smithing and uses 5 steel bars."
"Smithing","true_false","Smelting a Silver bar requires level 20 Smithing.","","true","","A Silver bar requires level 20 Smithing to smelt and is used primarily in Crafting for silver jewellery."
"Smithing","true_false","A Bronze scimitar requires level 3 Smithing to smith.","","false","","A Bronze scimitar requires level 5 Smithing and uses 2 bronze bars at an anvil."
"Smithing","multiple_choice","What Smithing level is required to make a Steel scimitar?","30|33|35|38","35","","A Steel scimitar requires level 35 Smithing and uses 2 steel bars at an anvil."
"Smithing","multiple_choice","What Smithing level is required to smelt a Lovakite bar?","40|43|45|50","45","","A Lovakite bar requires level 45 Smithing and uses 1 lovakite ore and 2 coal. It is used to make Shayzien armour."
"Smithing","multiple_choice","What Smithing level is required to make a Bronze dagger?","1|2|3|5","1","","A Bronze dagger requires level 1 Smithing and uses 1 bronze bar. It is the first item a player can smith."
"Smithing","free_response","What Smithing level is required to smith Iron dart tips?","","19","Iron|dart tips|19","Iron dart tips require level 19 Smithing and use 1 iron bar to produce 10 dart tips. The Tourist Trap quest must be completed."
"Smithing","multiple_choice","What Smithing level is required to make a Steel full helm?","34|36|37|40","37","","A Steel full helm requires level 37 Smithing and uses 2 steel bars at an anvil."
"Smithing","true_false","Making an Iron chainbody requires level 26 Smithing.","","true","","An Iron chainbody requires level 26 Smithing and uses 3 iron bars at an anvil."
"Smithing","multiple_choice","What Smithing level is required to smelt a Cupronickel bar?","68|70|74|78","74","","A Cupronickel bar requires level 74 Smithing and uses 1 nickel ore and 2 copper ore. It is used for high-level Sailing ships."
"Fishing","multiple_choice","What Fishing level is required to catch Shrimps?","1|3|5|7","1","","Shrimps require level 1 Fishing and are caught using a small fishing net. They are the first fish available to players."
"Fishing","multiple_choice","What Fishing level is required to catch Sardines?","3|5|7|10","5","","Sardines require level 5 Fishing and are caught using a fishing rod with bait."
"Fishing","multiple_choice","What Fishing level is required to catch Trout?","15|18|20|25","20","","Trout requires level 20 Fishing and is caught using a fly fishing rod with feathers. It is a popular early training fish."
"Fishing","multiple_choice","What Fishing level is required to catch Salmon?","25|28|30|35","30","","Salmon requires level 30 Fishing and is caught using a fly fishing rod with feathers."
"Fishing","multiple_choice","What Fishing level is required to catch Lobsters?","35|38|40|45","40","","Lobsters require level 40 Fishing and are caught using a lobster pot. They are one of the first high-healing fish available."
"Fishing","multiple_choice","What Fishing level is required to catch Swordfish?","45|48|50|55","50","","Swordfish requires level 50 Fishing and is caught using a harpoon."
"Fishing","multiple_choice","What Fishing level is required to catch Monkfish?","58|60|62|65","62","","Monkfish requires level 62 Fishing and a small net. The Swan Song quest must be completed to access the Piscatoris Fishing Colony."
"Fishing","multiple_choice","What Fishing level is required to catch Sharks?","72|74|76|78","76","","Sharks require level 76 Fishing and are caught using a harpoon. They are members-only and heal 20 hitpoints."
"Fishing","multiple_choice","What Fishing level is required to catch Anglerfish?","78|80|82|85","82","","Anglerfish require level 82 Fishing and are caught using a fishing rod with sandworms in Piscarilius."
"Fishing","multiple_choice","What Fishing level is required to catch Dark crabs?","80|83|85|88","85","","Dark crabs require level 85 Fishing and are caught using a lobster pot with dark fishing bait in the Wilderness Resource Area."
"Fishing","multiple_choice","What Fishing level is required to catch Minnow?","78|80|82|85","82","","Minnow requires level 82 Fishing and the full Angler's outfit shown to Kylie Minnow. They are used to exchange for raw Sharks."
"Fishing","true_false","Anchovies require level 15 Fishing to catch.","","true","","Anchovies require level 15 Fishing and are caught using a small fishing net."
"Fishing","true_false","Leaping trout require level 55 Fishing to catch.","","false","","Leaping trout require level 48 Fishing as well as level 15 Agility and Strength. Barbarian Training must also be completed."
"Fishing","multiple_choice","What Fishing level is required to catch Karambwan?","60|62|65|68","65","","Karambwan require level 65 Fishing using a Karambwan vessel and raw Karambwanji as bait. The Tai Bwo Wannai Trio quest must be completed."
"Fishing","multiple_choice","What Fishing level is required to catch Leaping sturgeon via Barbarian Fishing?","65|68|70|73","70","","Leaping sturgeon require level 70 Fishing along with level 45 Agility and Strength. They grant Agility and Strength XP when caught."
"Fishing","multiple_choice","What Fishing level is required to catch Infernal eels?","75|78|80|82","80","","Infernal eels require level 80 Fishing and an oily fishing rod with bait. Access to Mor Ul Rek inside the TzHaar city is needed."
"Fishing","multiple_choice","What Fishing level is required to catch Sacred eels?","82|85|87|90","87","","Sacred eels require level 87 Fishing and a fishing rod with bait. Partial completion of Regicide is required to access the area."
"Fishing","free_response","What Fishing level is required to catch Leaping salmon via Barbarian Fishing?","","58","Leaping salmon|58|Barbarian","Leaping salmon require level 58 Fishing along with level 30 Agility and Strength. They are caught using a barbarian rod with feathers."
"Fishing","multiple_choice","What Fishing level is required to catch Greater siren via Aerial Fishing?","87|89|91|93","91","","Greater siren require level 91 Fishing and level 87 Hunter for Aerial Fishing using a cormorant's glove."
"Fishing","true_false","Pike requires level 25 Fishing to catch.","","true","","Pike requires level 25 Fishing and is caught using a fishing rod with bait at lure or bait fishing spots."
"Mining","multiple_choice","What Mining level is required to mine Blurite ore?","5|8|10|15","10","","Blurite ore requires level 10 Mining and is found only in the Blurite Cavern. It is notably used during The Knight's Sword quest."
"Smithing","multiple_choice","What Smithing level is required to make a Steel kiteshield?","36|38|41|44","41","","A Steel kiteshield requires level 41 Smithing and uses 3 steel bars at an anvil."
"Cooking","multiple_choice","What Cooking level is required to cook lobster?","30|40|50|60","40","","Lobster requires level 40 Cooking to cook, healing 12 hitpoints."
"Cooking","multiple_choice","What Cooking level is required to cook shark?","70|75|80|85","80","","Shark requires level 80 Cooking to cook, healing 20 hitpoints and giving 210 XP."
"Cooking","multiple_choice","What Cooking level is required to cook monkfish?","58|62|66|70","62","","Monkfish requires level 62 Cooking to cook, healing 16 hitpoints."
"Cooking","multiple_choice","What Cooking level is required to cook swordfish?","40|45|50|55","45","","Swordfish requires level 45 Cooking to cook, healing 14 hitpoints."
"Cooking","multiple_choice","What Cooking level is required to cook manta ray?","88|90|91|95","91","","Manta ray requires level 91 Cooking to cook, giving 216.2 XP and healing 22 hitpoints."
"Cooking","multiple_choice","What Cooking level is required to cook dark crab?","85|88|90|92","90","","Dark crab requires level 90 Cooking to cook, healing 22 hitpoints."
"Cooking","multiple_choice","What Cooking level is required to cook anglerfish?","80|82|84|86","84","","Anglerfish requires level 84 Cooking to cook, healing between 3 and 22 hitpoints depending on your level."
"Cooking","multiple_choice","What Cooking level is required to bake a summer pie?","90|92|95|98","95","","Summer pie requires level 95 Cooking and boosts Agility by 5 when eaten."
"Cooking","multiple_choice","What Cooking level is required to cook karambwan (fully)?","25|28|30|35","30","","Cooked karambwan requires level 30 Cooking, giving 190 XP and healing 18 hitpoints."
"Cooking","multiple_choice","What Cooking level is required to bake a wild pie?","80|83|85|88","85","","Wild pie requires level 85 Cooking and boosts both Ranged by 4 and Slayer by 5."
"Cooking","multiple_choice","What Cooking level is required to cook trout?","10|15|20|25","15","","Trout requires level 15 Cooking to cook, healing 7 hitpoints and giving 70 XP."
"Cooking","multiple_choice","What Cooking level is required to cook salmon?","20|25|30|35","25","","Salmon requires level 25 Cooking to cook, healing 9 hitpoints and giving 90 XP."
"Cooking","multiple_choice","What Cooking level is required to bake a pineapple pizza?","55|60|65|70","65","","Pineapple pizza requires level 65 Cooking and heals 22 hitpoints in total."
"Cooking","true_false","Cooking gauntlets allow players to stop burning sharks at level 94.","","true","","With cooking gauntlets equipped the burn threshold for shark is reduced to level 94; without them sharks can burn even at level 99 on a fire."
"Cooking","true_false","Tuna can be cooked starting at level 25 Cooking.","","false","","Tuna requires level 30 Cooking to cook, not level 25."
"Cooking","multiple_choice","What Cooking level is required to bake an admiral pie?","65|70|75|80","70","","Admiral pie requires level 70 Cooking and boosts Fishing by 5 when eaten."
"Cooking","multiple_choice","What Cooking level is required to cook sea turtle?","78|80|82|85","82","","Sea turtle requires level 82 Cooking to cook, giving 211.3 XP and healing 21 hitpoints."
"Cooking","true_false","A Cooking cape prevents food from burning when equipped.","","true","","The Cooking cape (requiring level 99 Cooking) grants the ability to never burn food when worn."
"Cooking","free_response","What level is required to cook anchovies in OSRS?","","1","1|anchovies|level 1","Anchovies require only level 1 Cooking, giving 30 XP but only healing 1 hitpoint."
"Cooking","multiple_choice","What Cooking level is required to cook bass?","38|43|48|53","43","","Bass requires level 43 Cooking to cook, healing 13 hitpoints and giving 130 XP."
"Firemaking","multiple_choice","What Firemaking level is required to burn willow logs?","25|30|35|40","30","","Willow logs require level 30 Firemaking to burn, giving 90 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn maple logs?","40|42|45|50","45","","Maple logs require level 45 Firemaking to burn, giving 135 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn yew logs?","55|60|65|70","60","","Yew logs require level 60 Firemaking to burn, giving 202.5 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn magic logs?","70|75|80|85","75","","Magic logs require level 75 Firemaking to burn, giving 303.8 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn redwood logs?","85|88|90|92","90","","Redwood logs require level 90 Firemaking to burn, giving 350 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn oak logs?","10|12|15|18","15","","Oak logs require level 15 Firemaking to burn, giving 60 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn teak logs?","30|32|35|38","35","","Teak logs require level 35 Firemaking to burn, giving 105 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn mahogany logs?","45|48|50|55","50","","Mahogany logs require level 50 Firemaking to burn, giving 157.5 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn blisterwood logs?","58|60|62|65","62","","Blisterwood logs require level 62 Firemaking to burn, giving 96 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn arctic pine logs?","38|40|42|45","42","","Arctic pine logs require level 42 Firemaking to burn, giving 125 XP per log."
"Firemaking","true_false","Normal logs and achey tree logs both require level 1 Firemaking to burn.","","true","","Both normal logs and achey tree logs require only level 1 Firemaking, giving 40 XP each."
"Firemaking","multiple_choice","What Firemaking level is required to burn rosewood logs?","88|90|92|95","92","","Rosewood logs require level 92 Firemaking to burn, giving 268 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to burn ironwood logs?","75|78|80|85","80","","Ironwood logs require level 80 Firemaking to burn, giving 220.5 XP per log."
"Firemaking","true_false","Burning logs with a bow requires the same Firemaking level as using a tinderbox.","","false","","Bow firemaking requires 20 levels higher than the standard tinderbox method for every log type."
"Firemaking","multiple_choice","What Firemaking level is required to burn camphor logs?","62|64|66|68","66","","Camphor logs require level 66 Firemaking to burn, giving 180 XP per log."
"Firemaking","multiple_choice","What Firemaking level is required to create normal pyre logs?","1|3|5|8","5","","Normal and achey pyre logs require level 5 Firemaking to burn in the Shades of Mort'ton minigame, giving 50.5 XP."
"Firemaking","multiple_choice","What Firemaking level is required to burn yew pyre logs?","60|63|65|68","65","","Yew pyre logs require level 65 Firemaking in the Shades of Mort'ton minigame, giving 225 XP."
"Firemaking","true_false","Jatoba logs require level 40 Firemaking to burn.","","true","","Jatoba logs require level 40 Firemaking to burn, giving 120 XP per log."
"Firemaking","free_response","What Firemaking level is required to burn redwood pyre logs?","","95","95|redwood pyre|level 95","Redwood pyre logs require level 95 Firemaking in the Shades of Mort'ton minigame, giving 500 XP."
"Firemaking","multiple_choice","What Firemaking level is required to burn magic pyre logs?","75|78|80|82","80","","Magic pyre logs require level 80 Firemaking in the Shades of Mort'ton minigame, giving 404.5 XP."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop oak trees?","10|12|15|20","15","","Oak trees require level 15 Woodcutting to chop, giving 37.5 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop willow trees?","25|28|30|35","30","","Willow trees require level 30 Woodcutting to chop, giving 67.5 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop yew trees?","55|60|65|70","60","","Yew trees require level 60 Woodcutting to chop, giving 175 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop magic trees?","70|72|75|80","75","","Magic trees require level 75 Woodcutting to chop, giving 250 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop redwood trees?","85|88|90|92","90","","Redwood trees require level 90 Woodcutting to chop, giving 380 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop teak trees?","30|32|35|38","35","","Teak trees require level 35 Woodcutting to chop, giving 85 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop mahogany trees?","45|48|50|55","50","","Mahogany trees require level 50 Woodcutting to chop, giving 125 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop maple trees?","40|42|45|50","45","","Maple trees require level 45 Woodcutting to chop, giving 100 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to use a rune axe?","38|40|41|45","41","","A rune axe requires level 41 Woodcutting (and Attack if equipping), and is the best free-to-play axe available."
"Woodcutting","multiple_choice","What Woodcutting level is required to use a dragon axe?","58|61|65|70","61","","The dragon axe requires level 61 Woodcutting to use and has the Lumber Up special attack which boosts Woodcutting by 3."
"Woodcutting","true_false","The crystal axe requires completion of Song of the Elves to use.","","true","","The crystal axe requires level 71 Woodcutting and completion of Song of the Elves, and uses crystal shards."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop blisterwood trees?","58|60|62|65","62","","Blisterwood trees require level 62 Woodcutting to chop, giving 76 XP per log."
"Woodcutting","true_false","Woodcutting regular trees requires level 1 Woodcutting.","","true","","Regular trees and several other basic tree types such as dead trees and evergreen trees all require level 1 Woodcutting."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop rosewood trees?","88|90|92|95","92","","Rosewood trees require level 92 Woodcutting to chop, giving 212.5 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to use a mithril axe?","18|21|24|27","21","","A mithril axe requires level 21 Woodcutting to use."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop ironwood trees?","75|78|80|85","80","","Ironwood trees require level 80 Woodcutting to chop, giving 175 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to use a steel axe?","3|5|6|8","6","","A steel axe requires level 6 Woodcutting to use."
"Woodcutting","free_response","What Woodcutting level is required to chop arctic pine trees?","","54","54|arctic pine|level 54","Arctic pine trees require level 54 Woodcutting to chop, giving 40 XP per log."
"Woodcutting","multiple_choice","What Woodcutting level is required to use an adamant axe?","28|31|35|38","31","","An adamant axe requires level 31 Woodcutting to use."
"Woodcutting","multiple_choice","What Woodcutting level is required to chop jatoba trees?","36|38|40|42","40","","Jatoba trees require level 40 Woodcutting to chop, giving 92 XP per log."
"Agility","multiple_choice","What Agility level is required to use the Canifis Rooftop Course?","35|38|40|45","40","","The Canifis Rooftop Course requires level 40 Agility and also requires completion of the Priest in Peril quest."
"Agility","multiple_choice","What Agility level is required to use the Seers' Village Rooftop Course?","55|58|60|65","60","","The Seers' Village Rooftop Course requires level 60 Agility and gives up to 58,900 XP per hour."
"Agility","multiple_choice","What Agility level is required to use the Ardougne Rooftop Course?","85|88|90|92","90","","The Ardougne Rooftop Course requires level 90 Agility and gives approximately 70,000 XP per hour."
"Agility","multiple_choice","What Agility level is required to use the Pollnivneach Rooftop Course?","65|68|70|75","70","","The Pollnivneach Rooftop Course requires level 70 Agility and gives up to 60,000 XP per hour."
"Agility","multiple_choice","What Agility level is required to use the Falador Rooftop Course?","45|48|50|55","50","","The Falador Rooftop Course requires level 50 Agility and gives approximately 35,000 XP per hour."
"Agility","multiple_choice","What Agility level is required to use the Rellekka Rooftop Course?","75|78|80|85","80","","The Rellekka Rooftop Course requires level 80 Agility and gives approximately 65,000 XP per hour."
